9,10,16,11,12,5,4,6,21,22,26,29,2,25_15,7,8,20,19,14,18,13,17,1,3,23,27,24:0.391933
7,8,20,14,18,13,17,22,1,3,26,29,27,25_15,9,10,16,19,11,12,5,4,6,21,23,2,24:0.40069
15,19,14,12,18,13,5,6,21,17,22,1,3,29_7,9,10,8,20,16,11,4,26,23,2,27,25,24:0.460331
15,10,8,20,16,14,11,12,17,22,1,23,27,25_7,9,19,18,13,5,4,6,21,3,26,29,2,24:0.388063
15,7,20,16,11,12,18,13,4,6,1,3,29,24_9,10,8,19,14,5,21,17,22,26,23,2,27,25:0.364953
7,9,10,16,11,12,18,5,4,6,17,3,23,2_15,8,20,19,14,13,21,22,1,26,29,27,25,24:0.453731
15,9,10,8,19,14,11,4,6,22,1,23,2,24_7,20,16,12,18,13,5,21,17,3,26,29,27,25:0.412535
7,9,10,16,19,11,12,18,13,4,1,26,23,25_15,8,20,14,5,6,21,17,22,3,29,2,27,24:0.413418
15,7,9,8,20,14,12,5,21,1,3,23,2,27_10,16,19,11,18,13,4,6,17,22,26,29,25,24:0.364026
15,7,10,20,18,4,6,21,17,22,3,2,27,25_9,8,16,19,14,11,12,13,5,1,26,23,29,24:0.37012
15,9,8,20,19,14,11,18,13,5,17,3,27,25_7,10,16,12,4,6,21,22,1,26,23,29,2,24:0.353572
7,9,19,11,18,13,4,6,17,1,3,26,29,24_15,10,8,20,16,14,12,5,21,22,23,2,27,25:0.33648
15,16,19,14,11,12,13,4,6,21,17,22,23,29_7,9,10,8,20,18,5,1,3,26,2,27,25,24:0.403295
15,7,9,10,14,11,12,18,4,21,26,23,29,25_8,20,16,19,13,5,6,17,22,1,3,2,27,24:0.403374
7,9,10,20,19,11,5,17,1,3,26,23,29,25_15,8,16,14,12,18,13,4,6,21,22,2,27,24:0.345273
9,16,11,12,13,4,6,17,22,3,23,29,27,25_15,7,10,8,20,19,14,18,5,21,1,26,2,24:0.335291
8,20,19,14,11,12,13,5,3,23,29,2,25,24_15,7,9,10,16,18,4,6,21,17,22,1,26,27:0.336729
9,10,20,14,11,12,13,4,6,17,22,3,29,2_15,7,8,16,19,18,5,21,1,26,23,27,25,24:0.41863
15,10,16,14,11,18,13,6,21,22,23,29,2,27_7,9,8,20,19,12,5,4,17,1,3,26,25,24:0.377315
9,20,11,12,5,4,21,17,22,1,3,26,27,25_15,7,10,8,16,19,14,18,13,6,23,29,2,24:0.371873
15,7,8,11,12,13,4,21,22,1,26,23,2,25_9,10,20,16,19,14,18,5,6,17,3,29,27,24:0.330982
7,10,20,12,18,13,17,22,1,3,26,29,2,25_15,9,8,16,19,14,11,5,4,6,21,23,27,24:0.345727
