9,10,16,11,12,5,4,6,21,22,26,29,2,25_15,7,8,20,19,14,18,13,17,1,3,23,27,24:0.939933:9,10,16,11,12,5,4,6,21,22,26,29,2,25_15,7,8,20,19,14,18,13,17,1,3,23,27,24:0.939933:9,10,16,11,12,5,4,6,21,22,26,29,2,25_15,7,8,20,19,14,18,13,17,1,3,23,27,24:0.00216983:9,10,16,11,12,5,4,6,21,22,26,29,2,25_15,7,8,20,19,14,18,13,17,1,3,23,27,24:0.00153012
7,8,20,14,18,13,17,22,1,3,26,29,27,25_15,9,10,16,19,11,12,5,4,6,21,23,2,24:0.950069:7,8,20,14,18,13,17,22,1,3,26,29,27,25_15,9,10,16,19,11,12,5,4,6,21,23,2,24:0.950069:7,8,20,14,18,13,17,22,1,3,26,29,27,25_15,9,10,16,19,11,12,5,4,6,21,23,2,24:0.00219323:7,8,20,14,18,13,17,22,1,3,26,29,27,25_15,9,10,16,19,11,12,5,4,6,21,23,2,24:0.00155224
15,19,14,12,18,13,5,6,21,17,22,1,3,29_7,9,10,8,20,16,11,4,26,23,2,27,25,24:0.971363:15,19,14,12,18,13,5,6,21,17,22,1,3,29_7,9,10,8,20,16,11,4,26,23,2,27,25,24:0.971363:15,19,14,12,18,13,5,6,21,17,22,1,3,29_7,9,10,8,20,16,11,4,26,23,2,27,25,24:0.00251542:15,19,14,12,18,13,5,6,21,17,22,1,3,29_7,9,10,8,20,16,11,4,26,23,2,27,25,24:0.00165079
15,10,8,20,16,14,11,12,17,22,1,23,27,25_7,9,19,18,13,5,4,6,21,3,26,29,2,24:0.939749:15,10,8,20,16,14,11,12,17,22,1,23,27,25_7,9,19,18,13,5,4,6,21,3,26,29,2,24:0.939749:15,10,8,20,16,14,11,12,17,22,1,23,27,25_7,9,19,18,13,5,4,6,21,3,26,29,2,24:0.0021694:15,10,8,20,16,14,11,12,17,22,1,23,27,25_7,9,19,18,13,5,4,6,21,3,26,29,2,24:0.00152517
15,7,20,16,11,12,18,13,4,6,1,3,29,24_9,10,8,19,14,5,21,17,22,26,23,2,27,25:0.929852:15,7,20,16,11,12,18,13,4,6,1,3,29,24_9,10,8,19,14,5,21,17,22,26,23,2,27,25:0.929852:15,7,20,16,11,12,18,13,4,6,1,3,29,24_9,10,8,19,14,5,21,17,22,26,23,2,27,25:0.00214656:15,7,20,16,11,12,18,13,4,6,1,3,29,24_9,10,8,19,14,5,21,17,22,26,23,2,27,25:0.00148567
7,9,10,16,11,12,18,5,4,6,17,3,23,2_15,8,20,19,14,13,21,22,1,26,29,27,25,24:0.970584:7,9,10,16,11,12,18,5,4,6,17,3,23,2_15,8,20,19,14,13,21,22,1,26,29,27,25,24:0.970584:7,9,10,16,11,12,18,5,4,6,17,3,23,2_15,8,20,19,14,13,21,22,1,26,29,27,25,24:0.00247408:7,9,10,16,11,12,18,5,4,6,17,3,23,2_15,8,20,19,14,13,21,22,1,26,29,27,25,24:0.00164163
15,9,10,8,19,14,11,4,6,22,1,23,2,24_7,20,16,12,18,13,5,21,17,3,26,29,27,25:0.939975:15,9,10,8,19,14,11,4,6,22,1,23,2,24_7,20,16,12,18,13,5,21,17,3,26,29,27,25:0.939975:15,9,10,8,19,14,11,4,6,22,1,23,2,24_7,20,16,12,18,13,5,21,17,3,26,29,27,25:0.00221884:15,9,10,8,19,14,11,4,6,22,1,23,2,24_7,20,16,12,18,13,5,21,17,3,26,29,27,25:0.00155569
7,9,10,16,19,11,12,18,13,4,1,26,23,25_15,8,20,14,5,6,21,17,22,3,29,2,27,24:0.939342:7,9,10,16,19,11,12,18,13,4,1,26,23,25_15,8,20,14,5,6,21,17,22,3,29,2,27,24:0.939342:7,9,10,16,19,11,12,18,13,4,1,26,23,25_15,8,20,14,5,6,21,17,22,3,29,2,27,24:0.00222525:7,9,10,16,19,11,12,18,13,4,1,26,23,25_15,8,20,14,5,6,21,17,22,3,29,2,27,24:0.00155613
15,7,9,8,20,14,12,5,21,1,3,23,2,27_10,16,19,11,18,13,4,6,17,22,26,29,25,24:0.929809:15,7,9,8,20,14,12,5,21,1,3,23,2,27_10,16,19,11,18,13,4,6,17,22,26,29,25,24:0.929809:15,7,9,8,20,14,12,5,21,1,3,23,2,27_10,16,19,11,18,13,4,6,17,22,26,29,25,24:0.00214646:15,7,9,8,20,14,12,5,21,1,3,23,2,27_10,16,19,11,18,13,4,6,17,22,26,29,25,24:0.00148455
15,7,10,20,18,4,6,21,17,22,3,2,27,25_9,8,16,19,14,11,12,13,5,1,26,23,29,24:0.929683:15,7,10,20,18,4,6,21,17,22,3,2,27,25_9,8,16,19,14,11,12,13,5,1,26,23,29,24:0.929683:15,7,10,20,18,4,6,21,17,22,3,2,27,25_9,8,16,19,14,11,12,13,5,1,26,23,29,24:0.00214617:15,7,10,20,18,4,6,21,17,22,3,2,27,25_9,8,16,19,14,11,12,13,5,1,26,23,29,24:0.00149178
